rowid,Botanical_name,Common_name,Plant_type,Height,Width,Flower colour,Flowering Time,Pollinator,Information,Uses,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,December,Climate,Rainfall,Aspect,Soil
1,Abelia grandiflora,Glossy abelia,Shrub,2.5m,2.5m,Mauve  Pink  White,Summer,Honeybees  Native bees  butterflies,Abelia grandiflora is a deciduous or semi evergreen multistemmed shrub with rounded spreading  or gracefully arching branches to 1.0-1.8 m tall.The leaves are ovate  glossy dark green  and 2–6 cm long. The flowers are produced in clusters  white  tinged pink  bell-shaped  to 2 cm long. Unlike most flowering shrubs in cultivation  the species blooms from late summer to well into the autumn.,A useful border foundation or hedge plant. Widely used in streetscapes and park plantings.,yes,yes,yes,No,No,No,No,No,No,No,No,yes,Cool  temperate  warm/humid  frost hardy,Moderately drought hardy,Full sun  partial shade,Deep well-drained loam
2,Acacia baileyana,Cootamundra wattle,Tree,7m,5m,Yellow,Winter,Bees  Seed eating birds,"Acacia baileyana is a small evergreen tree with domed canopy  it is fast growing but short lived (8 - 15 years). Fast growth rate. A widely planted, hardy attractive acacia. The bark on the trunk and branches is smooth, grey to brown. The silver grey bipinnate leaves to 3 x 1 cm are characteristic. Flowers are in bright-yellow globular heads, in elongated showy racemes. Propagate from seed.",Widely planted as a striking ornamental in gardens  streetscapes and parks. It can be trimmed as a hedge and tolerates mild coastal exposure. It provides a nitrogenfixing low shelter component in windbreaks. ,No,No,No,No,No,yes,yes,yes,yes,yes,No,No,Cool  temperate  frost hardy,450 mm  drought tolerant,Full sun to part shade,Well-drained to heavy wet soils
3,Acacia doratoxylon,Currawang,Tree,10m,8m,White,Spring,Bees,"A moderately fast growing attractive acacia. The bark is corrugated, dark greyish– brown to black on the trunk. The leaf-like phyllodes are dark green, thick, semiglossy, linear, flat and mostly straight or slightly curved to 7–20 cm x 8–10 mm with a curved tip. The bright yellow flowers are arranged in crowded cylindrical spikes. Propagate by scarified seed.",A good garden and park tree and maintenance-free street tree. Good for farm shelter and shade. May be used as a specialty timber  with a medium to dark brown wood similar to that of the sought-after A. melanoxylon (Tasmanian blackwood)  used in turnery and as a cabinet timber.,No,No,No,No,No,No,No,No,yes,No,No,No,Temperate  hot/arid  frost hardy,250 mm  drought tolerant,Full sun,Light sandy loams to heavy clays  pH <6.5-7.5
4,Alyogyne huegelii,Native hibiscus,Shrub,2.5m,3m,White  Yellow  Mauve  Purple,Spring  Autumn,Bees  Butterflies  Other insects,A hardy and easy care small shrub growing to around a metre and a half high and wide  it has mauve-purple large flowers from spring through to autumn. It is dense growing and suitable for low hedging and screening as well as containers. It responds well to a frequent light prune  which should be done after flowering  and it can be shaped to size. Frost hardy  it does well in cool temperate to sub-tropical climates  in well drained soils and sun to part shade.,A very attractive ‘hibiscus’-looking flower that provides bold  bright colour as a specimen garden plant.,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Cool  temperate  warm/humid  hot/arid. Prefers hot dry summers  cool wet winters,200 mm  very drought tolerant,Sunny and protected from wind,Well-drained various. Intolerant of waterlogging
5,Angophora costata,Smooth-barked Apple,Tree,20m,12m,White,Spring  Summer,Bees,Handsome  erect fast growing  tree with slightly pitted smooth pink new bark. Better suited to larger gardens and parks. Will grow in most well drained soils. Has been known to lose branches in high winds,Angophora costata is widely planted as a street tree and an ornamental feature in public gardens and urban open spaces. It would make a good pollen support in bee forage planting. Timber is light pinkish–brown  moderately coarse-textured with numerous gum veins. Very hard but not durable  it is used for fencing and firewood (ADD 990 kg/m3 ,yes,No,No,No,No,No,No,No,No,yes,yes,yes,Temperate  warm/humid hot/arid  mildly frost hardy,600 mm  drought tolerant,Full sun,Well-drained soils from skeletal sandy loam on sandstone to heavy clay
6,Banksia integrifolia,Coast banksia,Tree,10m,4m,White,Autumn/Winter,Bees  Birds,Banksia integrifolia  commonly known as coast banksia  is a species of tree that grows along the east coast of Australia. One of the most widely distributed Banksia species  it occurs between Victoria and Central Queensland in a broad range of habitats  from coastal dunes to mountains.,This very versatile tree is a suitable street and specimen tree in larger gardens and parks. It is a good windbreak tree; its timber is non-durable and has an ADD of 560 kg/m3. The wood  which is difficult to dry due to shrinkage is an attractive reddish–brown with a prominent medullary ray; it is suited to cabinet work and turning,No,No,No,No,yes,yes,yes,yes,yes,No,No,No,Cool  temperate  warm/humid (southern),850 mm,Full sun,Well-drained  various  from sand to clay pH <7.5
7,Banksia serrata,Saw-tooth banksia,Shrub,10m,3m,Yellow,Winter/Spring/Summer,Bees  Birds,Banksia serrata  commonly known as old man banksia  saw banksia  saw-tooth banksia and red honeysuckle  is a species of woody shrub or tree of the genus Banksia in the family Proteaceae,Banksia serrata is a great frontline coastal species  very resistant to wind and salt spray. It makes a useful addition to shelterbelts and as a specimen tree in larger domestic gardens and public parks. It is used for cut flowers and in floral art. It has dense wood for a banksia  at 720 kg/m3  reddish to purple with a prominent medullary ray.,yes,yes,yes,yes,No,No,No,No,No,No,No,yes,Cool  temperate,650 mm  drought tolerant,Full sun,Well-drained poor sandy soil
8,Banksia spinulosa,Hairpin banksia,Shrub,2m,2m,Yellow  Pink  maroon or black,Fall-Winter-Spring,Honey bees  native birds  native bees,The hairpin banksia is a species of woody shrub  of the genus Banksia in the family Proteaceae  native to eastern Australia. Widely distributed  it is found as an understorey plant in open dry forest or heathland from Victoria to northern Queensland  generally on sandstone though sometimes also clay soils,This highly adaptable species can be grown in a broad range of conditions  from coastal exposure to inner city smog. It is a very useful garden addition and a good farm windbreak component. Flower spike is used in floral art.,No,No,No,yes,yes,yes,yes,yes,No,No,No,No,Cool  temperate  warm/humid,500 mm  drought tolerant,Full sun to part shade,Well-drained  light to moderately heavy soils. Acid to neutral pH  but will tolerate slightly alkaline
9,Borago officinalis,Borage,Herb,0.8m,0.3m,Blue,Spring  Summer,Honey bees and bumble bees,Borago officinalis also known as a starflower  is an annual herb in the flowering plant family Boraginaceae. It is native to the Mediterranean region and has naturalized in many other locales.It grows satisfactorily in gardens in the UK climate  remaining in the garden from year to year by self-seeding. The leaves are edible and the plant is grown in gardens for that purpose in some parts of Europe.,A delicate herb with a faint cucumber-like flavour. Flowers are also edible and sometimes crystallised for cake decoration.,yes,yes,No,No,No,No,No,No,No,yes,yes,yes,Cool  temperate  hot arid,Fairly drought tolerant,Full sun to partial shade,Well-drained loam  neutral pH
10,Callistemon salignus,Red Willow Bottlebrush,Shrub,10m,3m,Red,Spring,Bees  Birds,Melaleuca salicina  commonly known as white bottlebrush or willow bottlebrush  is a plant in the myrtle family  Myrtaceae and is endemic to eastern Australia. It is a shrub or small tree with soft foliage  pink new growth  white papery bark and spikes of usually white or creamy bottlebrush flowers in spring,A good street tree. Its attractive pendulous habit and other features make it a worthy addition to a larger garden or park. Useful for wetter sites in farm shelter and rehabilitation.,No,No,No,No,No,No,No,No,yes,yes,No,No,Cool  temperate  warm/humid  hot arid,500 mm  moderately drought tolerant once established,Full sun,Well-drained  moist  sandy to heavy clays  tolerates waterlogging and brackish sites
