rowid,Sciencetific_name,PLANT,Plant_type,Description,Links,Sowing_Instructions,Space_bet_plants,harvestInstructions,Compatible,Avoid_Instructions,Height,Width,Soil,Maintenance,Aspect,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,December
1,Asparagus officinalis,Asparagus,Vegetable,Asparagus is a herbaceous perennial plant growing to 100–150 cm (39–59 in) tall with stout stems with much-branched feathery foliage. ,https://en.wikipedia.org/wiki/Asparagus,Easy to grow. Plant as crowns. Best planted at soil temperatures between 61°F and 86°F. (Show °C/cm),8 - 16 inches apart,Harvest in 2-3 years. Plant 'crowns' to harvest earlier .,Parsley Basil Nasturtiums Lettuce,Garlic Onions and root vegetables,0.4m,0.2m,A well-drained humus rich soil with added manure/compost. Prefers a loose deep well cultivated and aerated soil.,You should not harvest the spears until three years after planting. In the first two years allow the spears to grow and cut them down to the ground in autumn and make sure that you don't allow it to fruit. In the third season harvest the spears when a good size and make sure that you leave some of the spears behind to photosynthesize and provide the plant with energy to grow the next year.,Full sun,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2,Ocimum basilicum,Basil,Herb,Ocimum is a genus of aromatic annual and perennial herbs and shrubs in the family Lamiaceae native to the tropical and warm temperate regions of all 6 inhabited continents with the greatest number of species in Africa. Its best known species are the cooking herb cooking basil O. basilicum and the medicinal herb tulsi (holy basil) O. tenuiflorum.,https://en.wikipedia.org/wiki/Ocimum,Grow in seed trays and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 95°F. (Show °C/cm),8 - 10 inches apart,Harvest in 10-12 weeks. Pick before flowering.,Tomato,,0.6m,0.2m,Well drained but moist friable and fertile soils. Goes well in a pot on the windowsill where it will deter flies.,Pinch out terminal growth to promote bushiness and prevent going to seed water at midday but don't overdo it as young plants can suffer from damping off,Full sun/Light shade,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3,Beta Vulgaris,Beetroot,Vegetable,Beta vulgaris (beet) is a plant which is included in Betoideae subfamily in the Amaranthaceae family. It is the economically most important crop of the large order Caryophyllales. It has several cultivar groups: the sugar beet of greatest importance to produce table sugar; the root vegetable known as the beetroot or garden beet; the leaf vegetable known as chard or spinach beet; and mangelwurzel which is a fodder crop.,https://en.wikipedia.org/wiki/Beta_vulgaris,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45°F and 77°F. (Show °C/cm),8 - 12 inches apart,Harvest in 7-10 weeks.,Onions Silverbeet (Swiss Chard) Lettuce Cabbage Dwarf Beans Dill Peas. Strawberries,Asparagus Carrots Sweetcorn Spinach,0.4m,0.4m,This veggie is not too fussy and it will grow well in any well drained soil with moderate fertility.,Plant at any time except April and May when the roots become about the size of a golf ball lift from the ground.,Full sun,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
4,Brassica oleracea var. italica,Broccoli,Vegetable,"Broccoli is an edible green plant in the cabbage family whose large flowering head and stalk is eaten as a vegetable. The word broccoli comes from the Italian plural of broccolo which means ""the flowering crest of a cabbage"" and is the diminutive form of brocco meaning ""small nail"" or ""sprout"".",https://en.wikipedia.org/wiki/Brassica_oleracea,Easy to grow. Grow in seed trays and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45°F and 86°F. (Show °C/cm),14 - 20 inches apart,Harvest in 10-16 weeks. Cut flowerhead off with a knife..,Dwarf (bush) beans beets celery cucumber onions marigold nasturtium rhubarb aromatic herbs (sage dill chamomile oregano),Climbing (pole) beans tomato peppers (chilli capsicum) eggplant (aubergine) strawberry mustard,0.6m,0.5m,Well drained soils that are weed free and slightly limed. They definitely like a fertile soil and reliable moisture.,Water well when hot.,Full sun/Light shade,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
5,Brassica oleracea cabbage,Cabbage,Vegetable,Wild B. oleracea is a tall biennial plant that forms a stout rosette of large leaves in the first year. The leaves are fleshier and thicker than other Brassica species—an adaptation that helps it store water and nutrients in its difficult growing environment. In its second year it uses the stored nutrients to produce a flower spike 1 to 2 metres (3–7 ft) tall with numerous yellow flowers.,https://en.wikipedia.org/wiki/Brassica_oleracea,Easy to grow. Grow in seed trays and plant out in 4 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 41°F and 64°F. (Show °C/cm),20 - 30 inches apart,Harvest in 11-15 weeks.,Dwarf (bush) beans beets celery cucumber onions marigold nasturtium rhubarb aromatic herbs (sage dill chamomile thyme),Climbing (pole) beans tomato peppers (chili capsicum) eggplant (aubergine) strawberry mustard parsnip,0.6m,0.5m,Cabbage needs well drained soils that are weed free and slightly limed.,Water well when hot.,Full sun/Light shade,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6,Capsicum annum,Capsicum,Vegetable,Capsicum annuum is a species of the plant genus Capsicum (peppers). The species encompasses a wide variety of shapes and sizes of peppers both mild and hot such as bell peppers jalapenos New Mexico chile and cayenne peppers. The plant is not an annual but is frost tender.,https://en.wikipedia.org/wiki/Capsicum_annuum,Grow in seed trays and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 95°F. (Show °C/cm),8 - 20 inches apart,Harvest in 10-12 weeks. Cut fruit off with sharp knife.,Egg plant (Aubergine) Nasturtiums Basil Parsley Amaranth,,1.5m,0.3m,Rich friable soils are best with access to plenty of water in peak growing season., Liquid feed when flowers appear.,Full sun,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
7,Daucus glochidiatus,Australian Carrot,Vegetable,Daucus glochidiatus commonly known as Australian carrot Austral carrot or native carrot is a species of herb in the flowering plant family Apiaceae. It is native to Australia and New Zealand. It grows as an erect annual herb from 2 to 60 centimetres in height but rarely over 20 centimetres. Flowers occur in a range of colours.,https://en.wikipedia.org/wiki/Daucus_glochidiatus,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm),2 - 12 inches apart,Harvest in 12-18 weeks.,Onions Leeks Lettuce Sage Peas Radishes Tomatoes Beans Celery Rosemary,Parsnips Beetroot Dill Brassicas Fennel,0.3m,0.3m,A deep sandy loam. Remove rocks and stones as they will encourage deformities., You can sow these anytime except Autumn. Plant 25cm apart and compact the soil around the seed. Make sure it stays well watered. Fertilise twice when growing. Carrots generally need around 4 months from planting to harvest.,Full sun/Light shade,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
8,Brassica oleracea,Cauliflower,Vegetable,"Cauliflower is one of several vegetables in the species Brassica oleracea in the genus Brassica which is in the family Brassicaceae. It is an annual plant that reproduces by seed. Brassica oleracea also includes broccoli brussels sprouts cabbage collard greens and kale collectively called ""cole"" crops though they are of different cultivar groups.",https://en.wikipedia.org/wiki/Cauliflower,Grow in seed trays and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),24 - 39 inches apart,Harvest in 15-22 weeks.,Dwarf (bush) beans beets celery cucumber onions marigold nasturtium rhubarb aromatic herbs (sage dill chamomile),Climbing (pole) beans tomato peppers (chili capsicum) eggplant (aubergine) strawberry mustard,0.7m,0.4m,Well drained soils that are weed free and slightly limed. They like a fertile soil and reliable moisture.,Water well when hot in late summer as they develop and apply a nitrogen based fertiliser when they are around 0.3m high. Keep weed free but don't disturb the roots. Remove lower leaves as the rosettes develop and tie the closer ones up over the crown to keep it white and tender before harvesting.,Full sun/Light shade,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
9,Apium graveolens,Celery,Vegetable,Celery (Apium graveolens) is a marshland plant in the family Apiaceae that has been cultivated as a vegetable since antiquity. Celery has a long fibrous stalk tapering into leaves. Depending on location and cultivar either its stalks leaves or hypocotyl are eaten and used in cooking. Celery seed is also used as a spice and its extracts have been used in herbal medicine.,https://en.wikipedia.org/wiki/Celery,Grow in seed trays and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 54°F and 70°F. (Show °C/cm),6 - 12 inches apart,Harvest in 17-18 weeks.,Not applicable as celery needs to be close together to encourage blanching.,Sweetcorn,1m,0.5m,A light well drained soil with plenty of added humus. Slightly frost hardy.,Sow directly into the ground as they are difficult to transplant.,Full sun/Light shade,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
10,Coriandrum sativum,Coriander,Herb,Coriandrum sativum also known as Coriandrum sativum the stems and leaves of which are usually called is an annual herb in the family Apiaceae. All parts of the plant are edible but the fresh leaves and the dried seeds (as a spice) are the parts most traditionally used in cooking.,https://en.wikipedia.org/wiki/Coriander,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Thin to 18 inches,Harvest in 30-45 days.,Dill Chervil Anise Cabbages Carrots,Fennel,0.5m,0.2m,It needs a light soil with reasonable fertility and very good drainage. A sunny location is good though in high summer it will bolt to seed if too hot so some summer dappled shade will be helpful.,Trim the leaves as needed and remove the seeds when they start to turn brown. Cutting off the flower heads before they turn to seed will create more leaves to harvest.,Full sun,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11,Cucumis sativus,Cucumber,Vegetable,Cucumber (Cucumis sativus) is a widely cultivated plant in the gourd family Cucurbitaceae. It is a creeping vine that bears cucumiform fruits that are used as vegetables. ,https://en.wikipedia.org/wiki/Cucumber,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61°F and 95°F. (Show °C/cm),16 - 24 inches apart,Harvest in 8-10 weeks. Cut fruit off with scissors or sharp knife.,Nasturtiums Beans Celery Lettuce Sweet Corn Cabbages Sunflowers Coriander Fennel Dill Sunflowers,Potato Tomatoes,0.5m,1.8m,It needs a rich moist soil with good drainage. Mix plenty of organic matter into the soil before planting and it's also a good idea to mulch the soil with compost or a straw mulch to keep the moisture in the soil. Space 45 cms apart and allow 7-10 weeks to reach maturity.,They need to be trained onto a trellis or other support or the fruits will rot if in contact with the soil. Remove the fruits as soon as they are a good size and this will encourage further fruit production.,Full sun,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
12,Solanum melongena,Eggplant,Vegetable,Eggplant is a plant species in the nightshade family Solanaceae Solanum melongena grown for its often purple edible fruit. The eggplant is a delicate tropical perennial plant often cultivated as a tender or half-hardy annual in temperate climates. The stem is often spiny.,https://en.wikipedia.org/wiki/Eggplant,Grow in seed trays and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 75°F and 90°F. (Show °C/cm),24 - 30 inches apart,Harvest in 12-15 weeks. Cut fruit with scissors or sharp knife.,Beans capsicum lettuce amaranth thyme,Potatoes,3m,3m,It can tolerate most soils with adequate drainage and reliable moisture. Keep well watered in warm weather. if soils are sandy. Feed with potassium rich fertilisers when fruits are swelling.,Train it to a single stem at first and when it's about 0.3m tall pinch out the terminal growth bud to encourage side branching. Limit each plant to 6-8 fruits to maximise size. The fruits are ready to harvest when they give slightly when touched but are still firm.,Full sun,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
13,Allium ampeloprasum,Leeks,Vegetable,Allium ampeloprasum is a member of the onion genus Allium. The wild plant is commonly known as wild leek or broadleaf wild leek.,https://en.wikipedia.org/wiki/Allium_ampeloprasum,Easy to grow. Grow in seed trays and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm),4 - 8 inches apart,Harvest in 15-18 weeks. Loosen with a fork rather than pull by hand..,Carrots,,0.6m,0.1m,Well drained fertile weed free soils with plenty of compost or manure added - leeks prefer a cooler climate. Best sown in seed trays and pricked out to larger trays then planted out once hardened.,Keep well watered and fertilised - their growth rate slows dramtically in autumn so you can harvest them over a longer period than other veggies. Once harvested they can be stored for up to 2-3 months if kept quite cool and in humid conditions.,Full sun,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
14,Lactuca sativa,Lettuce,Vegetable,Lactuca sativa is a member of the Lactuca (lettuce) genus and the Asteraceae (sunflower or aster) family. Lettuce (Lactuca sativa) is an annual plant of the daisy family Asteraceae. It is most often grown as a leaf vegetable but sometimes for its stem and seeds. Lettuce is most often used for salads. ,https://en.wikipedia.org/wiki/Lettuce,Easy to grow. Sow in garden or start in seed trays and plant out in 4-6 weeks.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 8°C and 27°C. (Show °F/in),20 - 30 cm apart,Harvest in 8-12 weeks.,Carrots Onions Strawberries Beets Brassicas Radish Marigold Borage Chervil Florence fennel leeks.,Parsley Celery,0.2m,0.2m,Light well drained and fertile soils with some added organic matter to retain moisture.,Shade young plants in the hottest weather keep well watered to ensure crisp leaves. A light liquid feed will help promote strong growth,Full sun,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
15,Allium cepa,Onions,Vegetable,"The onion (Allium cepa L. from Latin cepa ""onion"") also known as the bulb onion or common onion is a vegetable that is the most widely cultivated species of the genus Allium. Its close relatives include the garlic leek chive and Chinese onion. The onion is most frequently a biennial or a perennial plant but is usually treated as an annual and harvested in its first growing season.",https://en.wikipedia.org/wiki/Onion,Easy to grow. Grow in seed trays and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm),2 - 4 inches apart,Harvest in 25-34 weeks. Allow onions to dry before storing.,Lemon Balm Borage Carrots Beets Silverbeet Lettuce Amaranth,Peas Beans,0.3m,0.1m,Well drained fertile weed free soils. Ensure they are planted far enough apart for a good clearance between the final sized bodies.,Let foliage die back after flowering. Onions store well but it is a good idea to harvest as needed as they will not rot initially.,Full sun,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
16,Petroselinum crispum,Parsley,Vegetable,Parsley or garden parsley (Petroselinum crispum) is a species of flowering plant in the family Apiaceae. it grows as a biennial in the first year it forms a rosette of tripinnate leaves 10–25 cm (3.9–9.8 in) long with numerous 1–3 cm (0.4–1.2 in) leaflets and a taproot used as a food store over the winter. In the second year it grows a flowering stem with sparser leaves and umbels with yellow to yellowish-green flowers.,https://en.wikipedia.org/wiki/Parsley,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),8 - 12 inches apart,Harvest in 9-19 weeks. Cut stalks from outer part of plant.,Carrots Chives Tomatoes Asparagus,Potatoes,0.75m,0.75m,A good quality potting mix or any well drained soil that has some composted materials added to keep miosture available without waterlogging.,Regular harvesting of small quantities by hand should be enough to keep it in good shape otherwise keep watered in hot weather.,Full sun/Light shade,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
17,Pastinaca sativa,Parsnip,Vegetable,The parsnip (Pastinaca sativa) is a root vegetable closely related to carrot and parsley; all belong to the family Apiaceae. It is a biennial plant usually grown as an annual. Its long tuberous root has cream-colored skin and flesh and left in the ground to mature it becomes sweeter in flavor after winter frosts. In its first growing season the plant has a rosette of pinnate mid-green leaves.,https://en.wikipedia.org/wiki/Parsnip,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 43°F and 70°F. (Show °C/cm),3 - 4 inches apart,Harvest in 17-20 weeks. Best flavour if harvested after a frost..,Swiss Chard (Silverbeet) Capsicum Peas Potatoes Beans Radishes Garlic,Carrot Celery Brassicas,0.45m,0.3m,Best in deep sandy stone free soils to encourage smooth shaped roots. Do not plant close to Brassicas celery or carrots.,Keep well watered over hot summers.,Full sun,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
18,Pisum sativum,Peas,Vegetable,The pea is most commonly the small spherical seed or the seed-pod of the pod fruit Pisum sativum. P. sativum is an annual plant with a life cycle of one year. It is a cool-season crop grown in many parts of the world; planting can take place from winter to early summer depending on location. The average pea weighs between 0.1 and 0.36 gram.,https://en.wikipedia.org/wiki/Pea,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 8°C and 24°C. (Show °F/in),5 - 8 cm apart,Harvest in 9-11 weeks. Pick the pods every day to increase production.,Potatoes,,1.8m,0m,A fertile soil with added organic matter and reliable moisture. They also like it on the Alkaline side so check the pH and add some garden lime or dolomite if needed.,Peas are climbers so it'll be necessary to provide a support with some stakes and wire or twigs. Harvest the peas early while they are most flavoursome.,Full sun,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
